date,kind,amount,category,group,note
2025-12-27,expense,14.95,Streaming,want,Monatsabo
2025-12-29,expense,129.0,Online-Shop,want,Online-„Splurge“ (Sale)
2025-12-31,income,550,Lohn,,Nebenjob (Monat)

2026-01-01,income,120,Taschengeld,,Taschengeld (Monat)
2026-01-02,expense,75,ÖV-Abo,fix,Monatsabo
2026-01-05,expense,25,Handy,fix,Monatsabo
2026-01-08,expense,13.2,Gesundheit,fix,Apotheke
2026-01-09,expense,11.9,Restaurant,want,Mittag
2026-01-11,income,420,Lohn,,Nebenjob (Monat)
2026-01-11,expense,25.5,Restaurant,want,Beispiel: Pizza
2026-01-11,expense,50,Sparen,save,Beispiel: Sparkonto
